,champion,race,type,region,bio
36,Gnar,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Gnar est un yordle dont les manières joyeuses peuvent soudain faire place à une colère irrationnelle. Il se transforme alors en une bête colossale portée à la destruction. Gelé dans de la glace pure pendant des millénaires, la curieuse créature s'est libérée de sa prison. Aujourd'hui, Gnar parcourt avec enthousiasme un monde qu'il trouve exotique et merveilleux. Enchanté par le danger, Gnar lance à ses ennemis tout ce qu'il trouve, qu'il s'agisse de son boomerang en croc... ou d'un tronc déraciné."
37,Gragas,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Aussi imposant que jovial, Gragas est un brasseur à l'impressionnante carrure qui cherche la recette de la bière parfaite. Venu d'on ne sait où, il continue de chercher les ingrédients les plus rares dans les terres vierges de Freljord, essayant toutes les variations de bière au cours de son périple. Souvent ivre et toujours impulsif, il est légendaire pour ses rixes, qui finissent souvent en fêtes nocturnes préjudiciables au mobilier urbain. Toute apparition de Gragas annonce beuverie et destruction. Dans cet ordre."
38,Graves,Unknown,"RÔLE
TIREUR","RÉGION
BILGEWATER","Malcolm Graves est un mercenaire, un parieur et un voleur recherché dans toutes les cités et tous les empires par lesquels il est passé. Malgré son tempérament explosif, il a un sens de l'honneur strict et indéniable, qu'il applique souvent avec son fusil à double canon, Destinée. Ces dernières années, il s'est réconcilié avec Twisted Fate. Leur partenariat rétabli, ils prospèrent à nouveau dans les allées sombres de Bilgewater."
39,Gwen,Unknown,"RÔLE
COMBATTANT","RÉGION
ÎLES OBSCURES","Ancienne poupée à qui la magie a conféré la vie, Gwen est armée des outils qui l'ont créée. Elle emporte à chaque pas l'amour de sa créatrice et ne tient jamais rien pour acquis. Elle commande à la Brume sacrée, une ancienne magie de protection qui a béni ses ciseaux, ses aiguilles et son fil à coudre. Tout est nouveau pour Gwen, mais elle reste déterminée à combattre dans la joie pour préserver le bien qui survit dans un monde en déréliction."
40,Hecarim,Unknown,"RÔLE
COMBATTANT","RÉGION
ÎLES OBSCURES","Fusion spectrale de l'homme et de la bête, Hecarim est condamné à pourchasser les âmes des vivants pour l'éternité. Lorsque les ombres ont envahi les Îles bénies, ce fier chevalier et sa horde de cavaliers ont été anéantis par les énergies destructrices de la Ruine. À présent, quand la Brume noire s'étend sur Runeterra, il mène la charge et se plaît à massacrer et écraser ses ennemis sous ses lourds sabots."
41,Heimerdinger,Unknown,"RÔLE
MAGE","RÉGION
PILTOVER","Scientifique yordle aussi brillant qu'excentrique, le professeur Cecil B. Heimerdinger est considéré comme l'un des inventeurs les plus innovants qu'ait connu Piltover. Travailleur si acharné que cela confine à l'obsession, il cherche les réponses aux questions les plus obscures de l'univers. Bien que ses théories paraissent souvent opaques et ésotériques, Heimerdinger a fabriqué quelques-unes des machineries les plus étonnantes (et les plus mortelles) de Piltover. Il ne cesse jamais de bidouiller ses inventions pour les améliorer encore."
42,Illaoi,Unknown,"RÔLE
COMBATTANT","RÉGION
BILGEWATER","La stature colossale d'Illaoi n'a d'égale que sa foi implacable. Prophétesse du Grand Kraken, elle se sert d'une énorme idole dorée pour arracher les esprits de ses ennemis et faire voler en éclats leur perception de la réalité. Ceux qui défient « l'Apôtre de la vérité de Nagakabouros » découvrent bien vite qu'Illaoi ne combat jamais seule, car le dieu des Îles aux serpents lui prête main-forte."
43,Irelia,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","Des nombreux héros qui naquirent de l'occupation noxienne, aucun n'est plus étonnant que la jeune Irelia de Navori. Formée aux danses ancestrales de sa province, elle adapta son art à la guerre, se servant de ses mouvements gracieux et précis pour faire léviter une multitude de lames acérées. Après avoir prouvé ses talents de guerrière, elle devint le chef et le symbole de la Résistance ; à ce jour, sa tâche est toujours de défendre son pays."
44,Ivern,Unknown,"RÔLE
SUPPORT","RÉGION
IONIA","Ivern, que beaucoup connaissent sous le nom de Roncepied ou de Vieil arbre, est un être étrange, mi-homme mi-arbre, qui arpente les forêts de Runeterra en cultivant la vie partout où il va. Il connaît les secrets du monde naturel et entretient une profonde amitié avec tout ce qui rampe, vole et pousse. Il enrichit les forêts, partage sa sagesse mystérieuse avec les mortels dont il croise la route et, parfois, confie ses secrets aux papillons bavards."
45,Janna,Unknown,"RÔLE
SUPPORT","RÉGION
ZAUN","Janna est un esprit élémentaire mystérieux qui protège les parias de Zaun. Bien que sa présence se ressente le plus souvent sous la forme d'une brise rafraîchissante ou d'une violente tempête, elle peut également se manifester aux yeux des mortels sous la forme d'une silhouette éthérée pour réconforter les infortunés. Janna a vu l'avènement et la chute de civilisations entières à travers les âges. Elle a toujours été une lueur d'espoir pour ceux qui en avaient besoin."
46,IV,Unknown,"RÔLE
TANK","RÉGION
DEMACIA","Fils unique du roi, le prince Jarvan doit un jour monter sur le trône de Demacia. Élevé de manière à incarner les plus hautes vertus de sa nation, il est contraint de trouver un équilibre entre les attentes placées en lui et son désir de faire ses preuves sur le champ de bataille. Guerrier d'exception, Jarvan inspire ses troupes avec son courage, sa détermination et son dévouement. Il porte haut les couleurs de sa famille et révèle chaque jour davantage sa véritable force de prochain souverain."
47,Jax,Unknown,"RÔLE
COMBATTANT","RÉGION
RUNETERRA","Jax, le plus grand maître d'armes de Runeterra, est le dernier survivant des Kohari, les champions voués à la défense d'Icathia. Lorsque le Néant fut déchaîné contre l'Ost des Transfigurés de Shurima, Icathia fut détruite, laissant Jax sans foyer ni raison d'être. Il a récupéré la « dernière lumière d'Icathia », symbole de son espoir de pouvoir un jour vaincre le Néant, et voyage désormais à travers le monde à la recherche de guerriers suffisamment puissants pour affronter les ténèbres à ses côtés."
48,Jayce,Unknown,"RÔLE
COMBATTANT","RÉGION
PILTOVER","Jayce est un brillant inventeur qui a voué sa vie à la défense de Piltover et de sa poursuite inlassable du progrès. Armé de son marteau Hextech polymorphe, Jayce utilise aussi bien sa force que son courage et son intelligence pour protéger sa ville. Bien que considéré comme un héros par ses compatriotes, il n'apprécie pas vraiment l'attention que cela lui vaut. Jayce a néanmoins un cœur d'or, et même ceux qui sont jaloux de ses talents naturels lui sont reconnaissants de protéger la Cité du progrès."
49,Jhin,Unknown,"RÔLE
TIREUR","RÉGION
IONIA","Jhin est un psychopathe méticuleux pour qui le meurtre est une forme d'art. Autrefois prisonnier de Ionia, mais libéré par des conspirateurs opérant au sein du conseil dirigeant du pays, ce tueur en série a désormais mis ses talents d'assassin au service de leur complot. Utilisant son pistolet comme un pinceau, Jhin crée des œuvres d'art empreintes de brutalité, aussi terrifiantes pour ses victimes que pour les témoins de ses crimes. Il tire un plaisir sadique de ses performances théâtrales, ce qui en fait un atout de poids quand il s'agit d'envoyer le plus puissant des messages : celui de la terreur."
50,Jinx,Unknown,"RÔLE
TIREUR","RÉGION
ZAUN","Criminelle hystérique et impulsive de Zaun, Jinx ne vit que pour semer le chaos sans se préoccuper des conséquences. Équipée d'un arsenal d'armes mortelles, elle déchaîne les explosions les plus spectaculaires en ne laissant dans son sillage que destruction et panique. Jinx déteste s'ennuyer et c'est dans la bonne humeur qu'elle sème le chaos dans tous les endroits qu'elle traverse."
51,Kai'Sa,Unknown,"RÔLE
TIREUR","RÉGION
LE NÉANT","Capturée par le Néant alors qu'elle n'était qu'une enfant, Kai'Sa parvint à survivre par la simple force de sa détermination et de sa ténacité. Si ses expériences ont fait d'elle une chasseuse meurtrière, certains voient en elle l'avant-goût d'un avenir qu'ils préféreraient ne pas connaître. Étant entrée en fragile symbiose avec une carapace vivante du Néant, il lui faudra bientôt décider si elle doit pardonner aux mortels qui la considèrent comme un monstre et vaincre la vague grandissante des ténèbres… ou si elle doit fermer les yeux et laisser le Néant consumer le monde qui l'a abandonnée."
52,Kalista,Unknown,"RÔLE
TIREUR","RÉGION
ÎLES OBSCURES","Spectre courroucé des Îles obscures, Kalista est l'incarnation immortelle de la vengeance, un cauchemar en armure que l'on invoque pour pourchasser les traîtres et les imposteurs. Les victimes trahies peuvent réclamer vengeance, mais Kalista ne répond qu'à ceux dont elle estime la cause digne de ses talents. Malheur à ceux qui suscitent l'ire de Kalista, car tout pacte qu'elle scelle ne se finit que d'une seule façon : dans les flammes glacées de ses lances spirituelles."
53,Karma,Unknown,"RÔLE
MAGE","RÉGION
IONIA","Aucun mortel n'incarne mieux que Karma les traditions spirituelles d'Ionia. Elle est l'hôte vivant d'une âme ancienne réincarnée à de multiples reprises. Elle contient tous les souvenirs accumulés au fil de ces vies et elle possède une puissance que peu peuvent comprendre. Elle a fait de son mieux pour guider son peuple lors de la crise récente, même si elle sait que la paix et l'harmonie ne sont possibles qu'à un prix élevé, pour elle et pour la terre qu'elle aime tant."
54,Karthus,Unknown,"RÔLE
MAGE","RÉGION
ÎLES OBSCURES","Héraut de l'oubli, Karthus est un esprit immortel dont les chants ensorcelants préludent à l'horreur de son apparition. Les vivants craignent l'existence éternelle des morts-vivants, mais Karthus n'y voit que beauté et pureté, une union parfaite de la vie et de la mort. Lorsque Karthus émerge des Îles obscures, c'est pour apporter aux mortels la joie de la mort dont il est le vibrant apôtre."
55,Kassadin,Unknown,"RÔLE
ASSASSIN","RÉGION
LE NÉANT","Kassadin se fraye un chemin dans les lieux les plus sombres du monde en sachant que ses jours sont comptés. Guide et aventurier shurimien accompli, il avait choisi de fonder une famille parmi les tribus pacifiques du sud, jusqu'au jour où son village fut ravagé par le Néant. Il jura de se venger et s'arma de reliques arcaniques qu'il combina à l'aide de technologies interdites. Enfin, Kassadin se dirigea vers les ruines d'Icathia à la recherche du prophète autoproclamé, Malzahar, prêt à affronter les monstres du Néant."
56,Katarina,Unknown,"RÔLE
ASSASSIN","RÉGION
NOXUS","Aussi prompte dans ses décisions qu'elle est meurtrière en combat, Katarina figure parmi les assassins les plus prestigieux de Noxus. Fille aînée du légendaire général Du Couteau, elle révéla bien vite ses talents en éliminant ses ennemis avec la plus grande des discrétions. Son ambition était telle qu'elle n'hésitait pas à traquer des cibles solidement gardées, au risque de mettre ses alliés en danger. Quelle que fût la mission, elle n'hésitait jamais à remplir son devoir dans un tourbillon de lames acérées."
57,Kayle,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Née d'une Manifestation targonienne au plus fort des Guerres runiques, Kayle honore l'héritage de sa mère en combattant pour la justice sur des ailes de feu divin. Elle et sa sœur jumelle Morgana ont longtemps été les protectrices de Demacia. Mais Kayle fut déçue par les trop nombreuses faiblesses des mortels et elle abandonna le royaume. Pourtant, d'après les légendes, elle punit toujours l'iniquité avec ses lames de feu, et beaucoup attendent avec espoir son retour…"
